hayal kırıklığı

geceyi hatırla

yavaşça gitmek

aşkın izleri

kalbim seninle

sonsuz yollar

gözlerinle başlar

bir bahar dalı

sessiz çığlık

unuttum sanma

düşlerimde sen

güneş batarken

yıldızlar kayar

rüzgar fısıldar

denizin sesi

ay ışığında

kayıp zaman

sevmek zor

yarım kalan

bir umut saklı

gülüşün yeter

hüzünlü şarkı

dans ederken

kendi dünyam

sonsuzlukta kaybol

göz göze

elveda deme

kış güneşi

bahar gelir

kalp ağrısı

seni özlerim

bir masalda

gece biter

sabah olur

yine de sen

hayat kısa

aşkı bulmak

korkma sakın

ruhumda iz

gizli sevda

düşüncelerimde

mavi gökyüzü

siyah beyaz

anlat bana

duy sesimi

biraz zaman

yüreğim yanar

geçmişten iz

umutlarım var

seninle başlar

bitmeyen gece

rüya gibi

kalbim kırık

sevmeyi bil

gözlerimde yaş

dinle beni

sonsuz aşk

hayaller kur

yitip giden

bir sevda masalı

güneş doğar

ay parlarken

seni gördüm

kalbim titrer

uzak diyar

yakın olsan

bir şarkı söyle

dans et benimle

gözlerin konuşur

sevgilim naber

hisset beni

yolun sonu

aşkın ateşi

geceyi yaşa

sabahı bekle

biraz huzur

seni ararım

düşler sokağı

kalbimde yer

gizli bahçe

rüzgarla dans

mavi deniz

sonsuz ufuk

yüreğimde sen

bir anı sakla

gece yıldızı

hayat bir oyun

sevmek güzel

kapanır gözler

açılır kalp

uzun yollar

kısa anlar

seni isterim

aşkın rengi

gözlerin yeter

hüzün biter

umut başlar

dinmeyen yağmur

güneşli günler

seninle olmak

hayali kurdum

bir sevgi yeter

kalbimde aşk

sonsuz dua

geceyi dinle

gözlerim seni

yüreğim ağlar

rüya biter

hayat devam

aşkı yaşa

seni buldum

kalbim durur

gözlerim arar

biraz sevgi

sonsuz hikaye

yitip gider

umut taşır

geceyi sev

gündüzü yaşa

seni düşünür

kalbim çarpar

aşkın yolu

hayaller gerçek

biraz cesaret

gözlerinle gör

sevmek yeter

hüzünlü anlar

güneş açar

ay ışığı

seninle güler

kalbim susar

rüzgar eser

denize bak

sonsuz mavilik

yüreğim titrer

bir şarkı çal

dans edelim

göz göze bak

sevgiyi hisset

hayat güzel

seni severim

umutla dol

geceyi yak

güneşi tut

aşkı koru

kalbim senin

sonsuz sevgi

hayallerimde

gözlerinle uyu

yüreğimle uyan

biraz aşk

sonsuz gece

gündüz hayali

seni özledim

kalbim yanar

gözlerim dalar

rüzgar susar

deniz çağlar

ay dinler

güneş güler

aşkı anlat

sevmeyi öğret

hayat bir rüya

seni bulurum

kalbimle gör

gözlerinle hisset

sonsuz dans

biraz hüzün

umutla başla

geceyi kucakla

gündüzü sev

aşkın gücü

yüreğimde izler

seni hatırla

gözlerimde sen

kalbimde aşkın

rüzgarla uçar

denize iner

güneşle doğar

ay ile biter

sevmek bir sanat

hayat bir şans

seni yaşarım

umutla bak

gözlerinle gül

kalbimle dinle

sonsuz yol

biraz zaman ver

aşkı sakla

yüreğimde taşı

geceyi gör

gündüzü bil

seni ister

kalbim bilir

gözlerin söyler

hüzün gider

umut gelir

rüzgarla başlar

denize varır

ay ışığında dans

güneşle uyan

aşkı bulur

sevmeyi öğren

hayat bir hediye

seni özler

kalbim arar

gözlerim bulur

sonsuzlukta sen

biraz sev

umutla yaşa

geceyi hisset

gündüzü kucakla

aşkın sesi

yüreğimde yankı

seni görürüm

kalbimle tut

gözlerinle bırak

rüzgarla gel

denize git

ay ile uyu

güneşle kalk

sevmek özgürlük

hayat bir yolculuk

seni bekler

umutla doluyum

gözlerinle başlarım

kalbimle bitir

sonsuz rüya

biraz huzurlu

aşkı yaşarım

geceyi severim

gündüzü ararım

seni düşün

kalbim sussun

gözlerim konuş

hüzün kalsın

umut dolsun

rüzgarla söyle

denize yaz

ay ile dinle

güneşle gör

aşkı hisset

sevmeyi bilirim

hayat bir an

seni bulmuşum

umutla gül

gözlerinle yaşa

kalbimle sev

sonsuz bahar

biraz gece

aşkı korurum

geceyi bul

gündüzü bırak

seni özlerim hep

kalbim yanar sessiz

gözlerim arar seni

rüzgar fısıldar aşk

denize sorar

ay cevaplar

güneş susturur

sevmek bir dua

hayat bir umut

seni severim hep

umutla bakarım

gözlerinle uçarım

kalbimle inerim

sonsuz sevda

biraz hüzünle

aşkı yaşatırım

geceyi kovarım

gündüzü çağırırım

seni düşlerim

kalbim titrer sessiz

gözlerim dalar uzak

rüzgarla gelirsin

denize gidersin

ay ile parlarsın

güneşle solarsın

sevmek bir bahar

hayat bir dal

seni özlerim çok

umutla dolarım

gözlerinle gülerim

kalbimle ağlarım

sonsuz masal

biraz zamanla

aşkı bulurum

geceyi dinlerim

gündüzü severim

seni ararım hep

kalbim çarpar hızlı

gözlerim bulur seni

rüzgarla dans edersin

denize gülersin

ay ile susarsın

güneşle uyanırsın

sevmek bir yol

hayat bir son

seni yaşarım hep

umutla başlarım

gözlerinle biterim

kalbimle severim

sonsuz hayal

biraz sevgiyle

aşkı saklarım

geceyi yaşarım

gündüzü beklerim

seni görürüm hep

kalbim susar sessiz

gözlerim arar hep

rüzgarla uçarım

denize varırım

ay ile başlarım

güneşle biterim

sevmek bir rüya

hayat bir gerçek

seni bulurum hep

umutla dolarm

gözlerinle yaşarım

kalbimle uyanırım

sonsuz aşkın

biraz hüzün var

aşkı hissederim

geceyi severim çok

gündüzü ararım az

seni özlerim her an

kalbim yanar her gün

gözlerim dalar hep

rüzgarla gelir aşk

denize sorarım

ay ile dinlerim
